1	内分泌疾病诊断中，往往首先易于确定的是{{c1::}}	病理诊断||病因诊断||功能状态||细胞学||物理诊断	3
2	下述哪种治疗在内分泌疾病功能减退中首选{{c1::}}	病因治疗||对症治疗||替代治疗||支持治疗||放疗及化疗	3
3	不属于垂体合成的激素是{{c1::}}	ACTH||TSH||PRL||LH||TRH	5
4	影响神经系统发育最重要的激素是{{c1::}}	生长激素||甲状腺激素||肾上腺素||肾上腺皮质激素||胰岛素	2
5	属于内分泌功能抑制试验的是{{c1::}}	ACTH试验||TRH试验||酚妥拉明试验||胰岛素低血糖试验||胰高血糖素试验	3
6	中枢性尿崩症减少尿量的首选治疗是{{c1::}}	加压素水剂长期替代||每天肌肉注射油剂鞣酸加压素||口服去氨加压素替代||加压素水剂与双氢克尿噻合用||非激素类抗利尿药物	1
7	有功能的垂体腺瘤最常见的是{{c1::}}	ACTH瘤||TSH瘤||GH瘤||PRL瘤||FSK/LH瘤	4
8	高泌乳素血症的药物治疗首选{{c1::}}	赛庚啶||溴隐亭||奥曲肽||酮康唑||黄体酮	2
9	疑为垂体腺瘤时，定位诊断首选{{c1::}}	脑电图||CT||MRI||放射性核素扫描||脑血管造影	3
10	偏盲性视野缺损最常见于{{c1::}}	糖尿病性视神经乳头水肿||Graves病浸润性突眼||嗜铬细胞瘤阵发高血压眼底出血||垂体腺瘤鞍上发展||希恩(Sheehan)综合征垂体梗死	4
11	尿渗透压降低常见于{{c1::}}	中枢性尿崩症||甲状腺功能亢进症||急性肾小球肾炎||糖尿病||原发性醛固酮增多症	1
12	垂体泌乳素腺瘤妇女的高泌乳素血症长期不予治疗可发生{{c1::}}	高血压||低钾血症||骨质疏松症||低蛋白血症||甲状腺功能减退	3
13	提示垂体腺瘤有激素分泌功能的表现是{{c1::}}	双颞侧头痛||脑脊液鼻漏||视野缺损||眼睑下垂||手足增大	5
14	腺垂体功能减退症危象最常见的诱发因素是{{c1::}}	过度劳累||感染性疾病||服用镇静剂||激素替代治疗中断||蝶鞍区放射治疗	2
15	女，38岁，10年前分娩后出现无乳，闭经，食欲减退，怕冷，面色苍白，毛发脱落。最可能的诊断是{{c1::}}	腺垂体功能减退症||原发性甲状腺功能减退症||神经性厌食症||肾上腺皮质功能减退症||卵巢功能早衰症	1
16	女，31岁，2年前分娩时发生出血性休克，至今无月经。目前畏寒、嗜睡、性欲低下。妇科检查提示子宫明显小于正常。引起该患者闭经的病变部位在{{c1::}}	甲状腺||子宫||卵巢||垂体||下丘脑	4
17	为预防甲亢术后出现甲状腺危象，最关键的措施是{{c1::}}	术后用冬眠合剂镇静||吸氧||术后给予氢化可的松||术后补钙||术前使基础代谢率降至正常范围	5
18	下列指标中用于鉴别原发性与继发性甲状腺功能减退症的是{{c1::}}	TSH||TT3||TT4||FT3||FTn	1
19	诊断甲亢(Graves病)最有价值的体征是{{c1::}}	皮肤湿润多汗、手颤||阵发性心房纤颤||甲状腺肿大伴震颤和血管杂音||收缩压升高，舒张压降低，脉压增大||窦性心动过速	3
20	甲状腺功能亢进时，腹泻的主要发生机制是{{c1::}}	肠蠕动增强||肠内容物渗透压增高||肠腔内渗出物增加||肠液分泌增多||VIP的作用	1
21	诊断自主性功能亢进性甲状腺腺瘤最佳的甲状腺检查是{{c1::}}	B超||放射性核素扫描||CT||碘摄取率||MRI	4
22	甲状腺癌最常见的病理类型是{{c1::}}	乳头状癌||滤泡状癌||乳头状癌合并滤泡状癌||髓样癌||未分化癌	1
23	甲状腺功能亢进症术前准备通常不包括{{c1::}}	T3、T4测定||喉镜检查||控制心率||给予氢化可的松||测基础代谢率	4
24	预测Graves病停用抗甲状腺药物是否易复发的指标是{{c1::}}	甲状腺摄131I率||抗甲状腺抗体||TSH||T3、T4及rT3||甲状腺刺激免疫球蛋白	2
25	引起Graves病基本的原因是{{c1::}}	长期碘摄入不足||长期碘摄入过多||各种因素致下丘脑分泌TRH过多||各种原因致垂体分泌TsH过多||遗传易感性和自身免疫功能异常	5
26	慢性淋巴性甲状腺炎引起原发性甲状腺功能减退症替代治疗的原则{{c1::}}	由大剂量开始，逐渐递减到合适剂量||从小剂量开始，逐渐递增到合适剂量||甲减越严重，起始剂量应越大||间断用药有利于预防心绞痛||待甲状腺功能正常后可停用	2
27	甲亢病人术前准备可以手术的基础代谢率，至少降至{{c1::}}	+10％以下||+20％以下||+25％以下||+30％以下||+35％以下	2
28	关于甲状腺髓样癌，下列论述错误的是{{c1::}}	甲状腺髓样癌起源于甲状腺滤泡上皮||髓样癌占甲状腺癌7％||甲状腺髓样癌的肿瘤标记物是降钙素||手术原则同乳头状腺癌||可兼有淋巴和血行转移	1
29	关于甲亢手术治疗的适应证，不正确的是{{c1::}}	高功能腺瘤||中度以上原发性甲亢||甲状腺肿大有压迫症状||抗甲状腺药物或放射性131碘治疗无效者||少年儿童患者	5
30	慢性肾功能不全继发性甲状旁腺功能亢进最主要的原因是{{c1::}}	血肌酐增高||血钾升高||血磷升高||维生素D减少||酸中毒	3
31	原发甲状腺功能减退症最早出现异常的是{{c1::}}	血TSH||血总T3||血游离T3||血总T4||血游离T4	1
32	甲亢术后呼吸困难多发生于术后{{c1::}}	6小时以内||12小时以内||24小时以内||48小时以内||72小时以内	4
33	单纯性甲状腺肿是指{{c1::}}	甲状腺弥漫性肿大||甲状腺结节性肿大||吸131I率正常的甲状腺肿大||甲状腺功能正常的甲状腺肿大||慢性甲状腺炎引起的甲状腺肿大	4
34	确诊高功能性甲状腺结节，最有意义的检查是{{c1::}}	TRH兴奋试验||T3抑制试验||吸131I率||放射性核素扫描||甲状腺MRI	4
35	预防甲状腺功能减退症黏液性水肿昏迷的关键是{{c1::}}	坚持甲状腺素替代治疗||水摄人量不宜过多||禁用镇静、安眠药||增强免疫力||避免过度劳累	1
36	病人发生甲状腺功能亢进时，其摄取率2小时至少超过{{c1::}}	15％||20％||25％||30％||35％	3
37	诊断慢性淋巴细胞性甲状腺炎最有价值的检查是{{c1::}}	TSH、FT3、FT4||T3抑制试验||抗甲状腺抗体||131I摄取率||甲状腺B超	3
38	下列情况可诱发黏液性水肿昏迷，除了{{c1::}}	替代治疗中断||使用镇静剂||寒冷||手术||饱餐	5
39	甲亢病人甲状腺素分泌增多，不会出现{{c1::}}	ATP合成增多||ATP分解加快||耗氧量增多||呼吸加快||氧化磷酸化反应受抑制	5
40	根治甲亢合并的低钾性周期性瘫痪最重要的措施是{{c1::}}	抗凝治疗||大剂量普萘洛尔(心得安)||持续补充钾盐||核素131I治疗甲亢||甲巯咪唑治疗甲亢	3
41	甲状腺功能亢进症最常见的甲状腺改变是{{c1::}}	结节性甲状腺炎||弥漫性甲状腺肿||慢性淋巴细胞性甲状腺炎||甲状腺腺瘤||甲状腺腺癌	2
42	甲状腺手术后最危急的并发症{{c1::}}	呼吸困难||创口渗血||手足抽搐||声音嘶哑||甲状腺危象	1
43	甲状腺功能减退症患者有严重的智力低下，聋哑，估计其甲状腺功能减退始于{{c1::}}	胎儿期或新生儿期||3～5岁||6～10岁||11～17岁||18岁以后	1
44	男，30岁，患甲状腺功能亢进症，突然出现双下肢不能动。检查：双下肢膝腱反射减退，无肌萎缩。血钾测定2.3mmol/L，你认为最可能是下列哪种情况{{c1::}}	慢性甲亢性肌病||周期性瘫痪||周围神经炎||重症肌无力||癔症	2
45	女，22岁，颈前肿物3个月。查体：右叶甲状腺触及一质硬结节，直径2cm.同侧颈淋巴结可及2个，质中，活动。B型超声：甲状腺右叶一低回声实性团块。为明确肿物良、恶性，下列各项检查。首先应选择{{c1::}}	同位素扫描||血清降钙素测定||针吸细胞学检查||颈部软组织像||右侧颈淋巴结活检	1
46	女，16岁。心慌，多汗，手颤2个月。无明显突眼，甲状腺I度弥漫性肿大。血游离T3、T4增高，TSH降低。肝、肾功能正常，血WBC 6.8×109/L。诊为甲亢。既往无甲亢病史。治疗选择{{c1::}}	核素131I治疗||甲状腺部分切除术||抗甲状腺药物治疗||抗甲状腺药物治疗后手术治疗||抗甲状腺药物治疗后核素131I治疗	3
47	女性, 34岁，因原发性甲亢行甲状腺双侧次全切除术。有关术中操作，正确的是{{c1::}}	结扎切断甲状腺上动脉要远离甲状腺上极||结扎切断甲状腺下动脉要靠近甲状腺背面||切除腺体的70％一80％||止血后不必放引流||须保留腺体的背面部分	5
48	女，37岁。查体发现甲状腺Ⅱ度大、质地中等硬度、表面不光滑、无触痛、颈浅表淋巴结不肿大。患者无心慌、怕热、多汗、易饿等症状，也无怕冷、便秘、体重增加等表现，血检髓、T4及TSH 正常。TPO一Ab及TG—Ab显著升高。最可能的诊断是{{c1::}}	甲状腺癌||亚急性甲状腺炎||慢性淋巴性甲状腺炎||结节性甲状腺肿||甲状腺腺瘤	5
49	女性，44岁，健康体检发现甲状腺肿大就诊。查体甲状腺对称性Ⅱ度肿大，表面不平，中等硬度。无触痛，无血管杂音，心率78次/分.拟诊慢性淋巴性甲状腺炎，有助于确诊的首选检查是{{c1::}}	TSH、FT3、FT4||抗甲状腺抗体||甲状腺B超声||甲状腺吸131I率||甲状腺CT	2
50	女性，25岁，心悸、甲状腺肿大，并伴有轻度呼吸不畅，压迫感，首次妊娠2月余，诊断为原发性甲亢。最有效的治疗方法是{{c1::}}	131I治疗||抗甲状腺药物治疗||终止妊娠||甲状腺大部切除||普萘洛尔(心得安)治疗	2
51	男性，65岁，因声音嘶哑、反应迟缓、浮肿入院。诊断为慢性淋巴性甲状腺炎、甲减。有黏液性水肿、心包积液。经左旋甲状腺素钠(L—T4)每日 25µg起始、逐渐递增剂量治疗后，上述症状、体征已基本消失。调整L—T4剂量是依据{{c1::}}	TSH||TT3||TT4||FT3||FT4	1
52	女，36岁，心悸、怕热、多汗3个多月，体重下降5kg。查体：无突眼。双手细颤，甲状腺Ⅱ度大，可闻血管杂音，心率：108次/分，结合实验室检查确诊为Graves病甲亢。白细胞3.O×109/L。肝功能ALT 46U/L，AST 36U/L。患者能否用核素治疗的关键检查是{{c1::}}	肝功能||血白细胞计数||抗甲状腺抗体水平||甲状腺核素扫描||甲状腺131I摄取率	5
